question,intent,entity,answer
Bệnh Von Willebrand,Nguyên nhân,Von Willebrand Disease,Thiếu hoặc rối loạn chức năng yếu tố Von Willebrand do di truyền
Bệnh Wilson,Triệu chứng,Wilson Disease,"Mệt mỏi, đau hoặc sưng bụng, vàng da, triệu chứng thần kinh (run, khó nói hoặc đi lại)"
Bệnh Wilson,Điều trị,Wilson Disease,"Thuốc để loại bỏ đồng khỏi cơ thể (chất chelate), thay đổi chế độ ăn, ghép gan (trong trường hợp nặng)"
Bệnh Wilson,Nguyên nhân,Wilson Disease,Tích tụ đồng do rối loạn di truyền
Bệnh amyloid,Triệu chứng,Amyloidosis,"Mệt mỏi, giảm cân, rối loạn chức năng cơ quan"
Bệnh amyloid,Điều trị,Amyloidosis,Điều trị phụ thuộc vào loại và mức độ tổn thương cơ quan
Bệnh amyloid,Nguyên nhân,Amyloidosis,Tích tụ protein amyloid bất thường trong mô
Bệnh bạch cầu,Triệu chứng,Leukemia,"Mệt mỏi, da nhợt nhạt, nhiễm trùng thường xuyên, dễ bầm tím hoặc chảy máu"
Bệnh bạch cầu,Điều trị,Leukemia,"Hóa trị, xạ trị, ghép tế bào gốc, liệu pháp nhắm mục tiêu, chăm sóc hỗ trợ"
Bệnh bạch cầu,Nguyên nhân,Leukemia,Rối loạn sản xuất tế bào máu trong tủy xương
Bệnh còi xương,Triệu chứng,Scurvy,"Mệt mỏi, nướu sưng và chảy máu, đau khớp"
Bệnh còi xương,Điều trị,Scurvy,"Bổ sung vitamin C, thay đổi chế độ ăn, duy trì vệ sinh miệng"
Bệnh còi xương,Nguyên nhân,Scurvy,Thiếu vitamin C trong chế độ ăn
Bệnh cơ tim phì đại tắc nghẽn,Triệu chứng,Hypertrophic Obstructive Cardiomyopathy (HOCM),"Khó thở, đặc biệt khi hoạt động thể chất hoặc gắng sức, đau hoặc khó chịu ở ngực, chóng mặt hoặc choáng váng, ngất hoặc gần ngất, hồi hộp tim (nhịp tim nhanh hoặc không đều), mệt mỏi, sưng ở mắt cá chân, bàn chân hoặc chân"
Bệnh cơ tim phì đại tắc nghẽn,Điều trị,Hypertrophic Obstructive Cardiomyopathy (HOCM),"Thuốc để giảm triệu chứng và cải thiện chức năng tim (như thuốc chẹn beta, thuốc chẹn kênh canxi, và disopyramide), thuốc để ngăn ngừa nhịp tim bất thường (như thuốc chống loạn nhịp), thuốc để giảm đông máu (như aspirin hoặc thuốc chống đông), đặt máy khử rung tim cấy ghép (ICD) (để theo dõi và điều chỉnh nhịp tim bất thường), cắt bỏ cơ vách (phẫu thuật loại bỏ một phần cơ tim dày lên), phá hủy cơ vách bằng cồn (phá hủy cơ tim dư thừa bằng tiêm cồn), thay đổi lối sống (như tránh hoạt động nặng, quản lý căng thẳng, và duy trì cân nặng khỏe mạnh), thăm khám định kỳ với bác sĩ tim mạch"
Bệnh cơ tim phì đại tắc nghẽn,Nguyên nhân,Hypertrophic Obstructive Cardiomyopathy (HOCM),"Dày cơ tim bất thường, thường do di truyền"
Bệnh dại,Triệu chứng,Rabies,"Triệu chứng giống cúm (sốt, đau đầu, mệt mỏi), lo âu, lú lẫn, ảo giác, khó nuốt"
Bệnh dại,Điều trị,Rabies,"Chăm sóc y tế khẩn cấp (phòng ngừa sau phơi nhiễm), chăm sóc vết thương, tiêm vắc-xin dại và globulin miễn dịch, chăm sóc hỗ trợ, theo dõi và quản lý triệu chứng"
Bệnh dại,Nguyên nhân,Rabies,Nhiễm virus dại từ vết cắn của động vật
Bệnh gan không do rượu (NASH),Triệu chứng,Nonalcoholic Liver Disease (NASH),"Mệt mỏi, sưng hoặc đau bụng, gan to, enzyme gan tăng, kháng insulin"
Bệnh gan không do rượu (NASH),Điều trị,Nonalcoholic Liver Disease (NASH),"Thay đổi lối sống (giảm cân, chế độ ăn lành mạnh, tập thể dục đều đặn), quản lý các tình trạng cơ bản, thuốc nếu cần"
Bệnh gan không do rượu (NASH),Nguyên nhân,Nonalcoholic Liver Disease (NASH),Tích tụ mỡ trong gan không do rượu
Bệnh gút,Triệu chứng,Gout,"Đau khớp dữ dội, sưng, đỏ"
Bệnh gút,Điều trị,Gout,"Thuốc (thuốc chống viêm không steroid, colchicine), thay đổi lối sống"
Bệnh gút,Nguyên nhân,Gout,Tăng axit uric trong máu
Bệnh hạ cam mềm,Triệu chứng,Chancroid,"Loét hoặc vết loét đau ở vùng sinh dục, sưng hạch bạch huyết ở bẹn"
Bệnh hạ cam mềm,Điều trị,Chancroid,"Kháng sinh (như azithromycin hoặc ceftriaxone), quản lý đau, chườm ấm, vệ sinh tốt"
Bệnh hạ cam mềm,Nguyên nhân,Chancroid,Nhiễm vi khuẩn Haemophilus ducreyi
Bệnh leishmania,Triệu chứng,Leishmaniasis,"Loét da, sốt, giảm cân, lách hoặc gan to"
Bệnh leishmania,Điều trị,Leishmaniasis,"Thuốc chống ký sinh trùng, điều trị biến chứng, kiểm soát vector (ở vùng lưu hành)"
Bệnh leishmania,Nguyên nhân,Leishmaniasis,Nhiễm ký sinh trùng từ côn trùng cắn
Bệnh lý võng mạc tiểu đường,Triệu chứng,Diabetic retinopathy,"Tầm nhìn mờ hoặc méo mó, chấm nổi, giảm khả năng nhận biết màu sắc, vùng tối hoặc trống trong trường nhìn, mất thị lực"
Bệnh lý võng mạc tiểu đường,Điều trị,Diabetic retinopathy,"Quản lý đường huyết, kiểm soát huyết áp, quản lý cholesterol, kiểm tra mắt định kỳ, điều trị laser, tiêm thuốc chống VEGF vào mắt, phẫu thuật cắt dịch kính"
Bệnh lý võng mạc tiểu đường,Nguyên nhân,Diabetic retinopathy,Tổn thương mạch máu võng mạc do tiểu đường không kiểm soát
Bệnh lậu,Triệu chứng,Gonorrhea,"Đau khi tiểu, tiết dịch bất thường từ bộ phận sinh dục, đau vùng chậu"
Bệnh lậu,Điều trị,Gonorrhea,"Kháng sinh (liệu pháp kép với ceftriaxone và azithromycin), thực hành tình dục an toàn, thông báo cho bạn tình"
Bệnh lậu,Nguyên nhân,Gonorrhea,Nhiễm vi khuẩn Neisseria gonorrhoeae
Bệnh máu khó đông,Triệu chứng,Hemophilia,"Chảy máu và bầm tím quá mức, chảy máu kéo dài từ vết thương hoặc sau làm răng hoặc phẫu thuật, chảy máu tự phát ở khớp hoặc cơ"
Bệnh máu khó đông,Điều trị,Hemophilia,"Liệu pháp thay thế bằng yếu tố đông máu cô đặc, thuốc để kiểm soát chảy máu, vật lý trị liệu, biện pháp bảo vệ khớp, tư vấn và xét nghiệm di truyền cho các thành viên gia đình"
Bệnh máu khó đông,Nguyên nhân,Hemophilia,Thiếu yếu tố đông máu do di truyền
Bệnh não gan,Triệu chứng,Hepatic Encephalopathy,"Lú lẫn, hay quên, thay đổi tính cách, run rẩy"
Bệnh não gan,Điều trị,Hepatic Encephalopathy,"Điều trị bệnh gan cơ bản, thuốc để quản lý triệu chứng, điều chỉnh chế độ ăn"
Bệnh não gan,Nguyên nhân,Hepatic Encephalopathy,Suy gan hoặc rối loạn chuyển hóa
Bệnh nướu răng,Triệu chứng,Gum Disease,"Nướu sưng, đỏ, nhạy cảm, chảy máu nướu"
Bệnh nướu răng,Điều trị,Gum Disease,"Thực hành vệ sinh miệng (đánh răng, dùng chỉ nha khoa), làm sạch răng chuyên nghiệp, thuốc, can thiệp phẫu thuật"
Bệnh nướu răng,Nguyên nhân,Gum Disease,Vi khuẩn tích tụ trên răng và nướu
Bệnh pemphigus,Triệu chứng,Pemphigus,Phồng rộp đau trên da và niêm mạc
Bệnh pemphigus,Điều trị,Pemphigus,"Corticosteroid, thuốc ức chế miễn dịch, chăm sóc vết thương"
Bệnh pemphigus,Nguyên nhân,Pemphigus,Rối loạn tự miễn tấn công da và niêm mạc
Bệnh thần kinh đa dây viêm mãn tính thoát myelin,Triệu chứng,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Yếu, tê, ngứa ran ở chi"
Bệnh thần kinh đa dây viêm mãn tính thoát myelin,Điều trị,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Liệu pháp globulin miễn dịch, corticosteroid, vật lý trị liệu"
Bệnh thần kinh đa dây viêm mãn tính thoát myelin,Nguyên nhân,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),Rối loạn tự miễn tấn công vỏ myelin của dây thần kinh
Bệnh thận do tiểu đường,Triệu chứng,Diabetic Kidney Disease,"Huyết áp cao, tăng nhu cầu tiểu tiện, sưng ở chân và mắt cá chân, mệt mỏi, buồn nôn, chán ăn"
Bệnh thận do tiểu đường,Điều trị,Diabetic Kidney Disease,"Kiểm soát huyết áp, kiểm soát đường huyết, thuốc bảo vệ thận (như chất ức chế ACE hoặc ARB), thay đổi lối sống (chế độ ăn lành mạnh, tập thể dục đều đặn, bỏ hút thuốc), quản lý biến chứng (như lọc máu hoặc ghép thận ở giai đoạn nặng)"
Bệnh thận do tiểu đường,Nguyên nhân,Diabetic Kidney Disease,Tổn thương thận do tiểu đường không kiểm soát
Bệnh thận mãn tính,Triệu chứng,Chronic Kidney Disease,"Mệt mỏi, sưng chân hoặc mắt cá chân, giảm cảm giác thèm ăn, khó tập trung, tăng tiểu tiện hoặc thay đổi nước tiểu, máu trong nước tiểu, huyết áp cao"
Bệnh thận mãn tính,Điều trị,Chronic Kidney Disease,"Quản lý các tình trạng cơ bản (như tiểu đường hoặc huyết áp cao), thay đổi lối sống (như chế độ ăn lành mạnh, tập thể dục đều đặn, ngừng hút thuốc), thuốc (như chất ức chế ACE hoặc thuốc lợi tiểu), lọc máu (trong giai đoạn tiến triển), ghép thận (trong bệnh thận giai đoạn cuối), quản lý các biến chứng liên quan (như thiếu máu hoặc bệnh xương), theo dõi định kỳ và thăm khám với bác sĩ thận học, giáo dục và hỗ trợ tự chăm sóc"
Bệnh thận mãn tính,Nguyên nhân,Chronic Kidney Disease,"Tổn thương thận tiến triển do tiểu đường, huyết áp cao hoặc bệnh lý khác"
Bệnh thận đa nang,Triệu chứng,Polycystic Kidney Disease,"Đau bụng, huyết áp cao, nang thận"
Bệnh thận đa nang,Điều trị,Polycystic Kidney Disease,"Quản lý triệu chứng, kiểm soát huyết áp, lọc máu"
Bệnh thận đa nang,Nguyên nhân,Polycystic Kidney Disease,Rối loạn di truyền gây nang trong thận
Bệnh tim tăng huyết áp,Triệu chứng,Hypertensive Heart Disease,"Huyết áp cao, đau hoặc khó chịu ở ngực, khó thở, mệt mỏi"
Bệnh tim tăng huyết áp,Điều trị,Hypertensive Heart Disease,"Thuốc (thuốc hạ huyết áp), thay đổi lối sống (chế độ ăn lành mạnh, tập thể dục, quản lý căng thẳng), điều trị các tình trạng cơ bản"
Bệnh tim tăng huyết áp,Nguyên nhân,Hypertensive Heart Disease,Huyết áp cao kéo dài
Bệnh trào ngược dạ dày thực quản,Triệu chứng,Gastroesophageal Reflux Disease (GERD),"Ợ nóng, trào ngược axit, đau ngực"
Bệnh trào ngược dạ dày thực quản,Điều trị,Gastroesophageal Reflux Disease (GERD),"Thay đổi lối sống, thuốc (kháng axit, chất ức chế bơm proton)"
Bệnh trào ngược dạ dày thực quản,Nguyên nhân,Gastroesophageal Reflux Disease (GERD),Yếu cơ vòng thực quản dưới
Bệnh tuyến giáp,Triệu chứng,Thyroid Disease,"Mệt mỏi, thay đổi cân nặng, dao động tâm trạng, da khô"
Bệnh tuyến giáp,Điều trị,Thyroid Disease,"Thuốc (thay thế hormone tuyến giáp, thuốc kháng giáp), liệu pháp i-ốt phóng xạ, phẫu thuật (trong một số trường hợp)"
Bệnh tuyến giáp,Nguyên nhân,Thyroid Disease,Rối loạn chức năng tuyến giáp
Bệnh van hai lá,Triệu chứng,Mitral Valve Disease,"Mệt mỏi, khó thở, hồi hộp tim"
Bệnh van hai lá,Điều trị,Mitral Valve Disease,"Thuốc, thay đổi lối sống, sửa chữa hoặc thay van phẫu thuật (trong trường hợp nặng)"
Bệnh van hai lá,Nguyên nhân,Mitral Valve Disease,Thoái hóa van hoặc bệnh lý tim
Bệnh van phổi,Triệu chứng,Pulmonic Valve Disease,"Mệt mỏi, khó thở, đau hoặc khó chịu ở ngực, hồi hộp tim, ngất hoặc choáng váng, sưng chân hoặc mắt cá chân"
Bệnh van phổi,Điều trị,Pulmonic Valve Disease,"Thuốc (như thuốc lợi tiểu, thuốc chẹn beta, hoặc thuốc chẹn kênh canxi), can thiệp phẫu thuật (như nong van bằng bóng hoặc thay van), thay đổi lối sống (như tập thể dục đều đặn, chế độ ăn tốt cho tim, ngừng hút thuốc), thăm khám định kỳ với bác sĩ tim mạch"
Bệnh van phổi,Nguyên nhân,Pulmonic Valve Disease,Bất thường van phổi do bẩm sinh hoặc thoái hóa
Cai nghiện thuốc,Triệu chứng,Drug Withdrawal,"Lo âu, bồn chồn, cáu kỉnh, run, đổ mồ hôi, buồn nôn, nôn, mất ngủ, thèm thuốc"
Cai nghiện thuốc,Điều trị,Drug Withdrawal,"Giảm dần thuốc dưới sự giám sát y tế, thuốc để quản lý triệu chứng cai nghiện (như benzodiazepine, clonidine, hoặc buprenorphine), liệu pháp hành vi, nhóm hỗ trợ, tư vấn, chương trình phục hồi"
Cai nghiện thuốc,Nguyên nhân,Drug Withdrawal,Phụ thuộc thuốc sau sử dụng kéo dài
Chàm,Triệu chứng,Eczema,"Ngứa, đỏ, da viêm, phát ban"
Chàm,Điều trị,Eczema,"Chất làm mềm (kem dưỡng ẩm), corticosteroid tại chỗ hoặc thuốc điều hòa miễn dịch, tránh kích ứng"
Chàm,Nguyên nhân,Eczema,Rối loạn miễn dịch hoặc kích ứng da
Chán ăn tâm thần,Triệu chứng,Anorexia Nervosa,"Giảm cân cực độ, sợ tăng cân, hình ảnh cơ thể méo mó"
Chán ăn tâm thần,Điều trị,Anorexia Nervosa,"Theo dõi y tế, tư vấn dinh dưỡng, tâm lý trị liệu (như liệu pháp hành vi nhận thức hoặc liệu pháp gia đình), thuốc (trong một số trường hợp), nhập viện (cho các trường hợp nghiêm trọng), nhóm hỗ trợ"
Chán ăn tâm thần,Nguyên nhân,Anorexia Nervosa,"Yếu tố tâm lý, di truyền, hoặc áp lực xã hội về hình thể"
Chảy máu không do kinh nguyệt không rõ nguyên nhân,Triệu chứng,Idiopathic Nonmenstrual Bleeding,"Chảy máu âm đạo bất thường ngoài kỳ kinh, các đợt chảy máu không dự đoán được, chảy máu sau quan hệ tình dục, chảy máu sau mãn kinh, đốm máu hoặc chảy máu nhẹ giữa các kỳ, chảy máu kéo dài hoặc nặng"
Chảy máu không do kinh nguyệt không rõ nguyên nhân,Điều trị,Idiopathic Nonmenstrual Bleeding,"Đánh giá để loại trừ nguyên nhân cơ bản (như mất cân bằng hormone, polyp, nhiễm trùng, hoặc bất thường tử cung), liệu pháp hormone (như thuốc tránh thai, liệu pháp thay thế hormone), thuốc không hormone (như axit tranexamic), nạo và vét (nếu cần để loại bỏ mô thừa hoặc điều tra nguyên nhân), đốt nội mạc tử cung (trong một số trường hợp), nội soi tử cung (để kiểm tra tử cung), phẫu thuật (trong trường hợp hiếm), tư vấn hoặc hỗ trợ sức khỏe tinh thần"
Chảy máu không do kinh nguyệt không rõ nguyên nhân,Nguyên nhân,Idiopathic Nonmenstrual Bleeding,"Nguyên nhân chưa rõ, có thể liên quan đến rối loạn hormone hoặc bất thường tử cung"
Chấn thương bụng,Triệu chứng,Abdominal Injury,"Đau bụng, nhạy cảm, bầm tím, sưng, khó thở, buồn nôn, nôn, thay đổi nhu động ruột, máu trong nước tiểu hoặc phân"
Chấn thương bụng,Điều trị,Abdominal Injury,"Chăm sóc y tế khẩn cấp, X-quang, chụp CT, siêu âm, ổn định dấu hiệu sinh tồn, quản lý đau, quan sát dấu hiệu xuất huyết nội, có thể can thiệp phẫu thuật, chăm sóc vết thương"
Chấn thương bụng,Nguyên nhân,Abdominal Injury,"Va chạm vật lý, tai nạn hoặc tổn thương nội tạng"
Chấn thương chân,Triệu chứng,Injury to the Leg,"Đau, sưng, bầm tím, khó đi lại"
Chấn thương chân,Điều trị,Injury to the Leg,"R.I.C.E. (Nghỉ ngơi, Chườm đá, Nén, Nâng cao), thuốc giảm đau, vật lý trị liệu"
Chấn thương chân,Nguyên nhân,Injury to the Leg,Chấn thương do va đập hoặc tai nạn
Chấn thương cơ quan nội tạng,Triệu chứng,Injury to Internal Organ,"Đau bụng, chảy máu, rối loạn chức năng cơ quan"
Chấn thương cơ quan nội tạng,Điều trị,Injury to Internal Organ,"Chăm sóc y tế khẩn cấp, xét nghiệm chẩn đoán, phẫu thuật (trong một số trường hợp)"
Chấn thương cơ quan nội tạng,Nguyên nhân,Injury to Internal Organ,Chấn thương vật lý hoặc tai nạn
Chấn thương nghiền,Triệu chứng,Crushing Injury,"Đau dữ dội, sưng, biến dạng, bầm tím, khó cử động hoặc sử dụng vùng bị ảnh hưởng"
Chấn thương nghiền,Điều trị,Crushing Injury,"Chăm sóc y tế khẩn cấp, bất động, quản lý đau, phẫu thuật (để sửa chữa hoặc tái tạo mô bị ảnh hưởng), phục hồi chức năng (vật lý trị liệu, liệu pháp nghề nghiệp)"
Chấn thương nghiền,Nguyên nhân,Crushing Injury,Lực mạnh đè ép mô cơ thể
Chấn thương ngón tay,Triệu chứng,Injury to the Finger,"Đau, sưng, bầm tím, biến dạng, hạn chế phạm vi chuyển động, khó cầm nắm hoặc sử dụng ngón tay"
Chấn thương ngón tay,Điều trị,Injury to the Finger,"Phương pháp RICE (Nghỉ ngơi, Chườm đá, Nén, Nâng cao), nẹp, thuốc giảm đau, vật lý trị liệu, phẫu thuật (trong trường hợp nặng)"
Chấn thương ngón tay,Nguyên nhân,Injury to the Finger,Chấn thương hoặc va đập vào ngón tay
Chấn thương vòng bít xoay,Triệu chứng,Rotator Cuff Injury,"Đau vai, yếu hoặc mất sức, phạm vi chuyển động hạn chế, cứng vai"
Chấn thương vòng bít xoay,Điều trị,Rotator Cuff Injury,"Các lựa chọn điều trị không phẫu thuật: Nghỉ ngơi, chườm đá hoặc nhiệt, thuốc giảm đau, bài tập vật lý trị liệu, phẫu thuật nội soi"
Chấn thương vòng bít xoay,Nguyên nhân,Rotator Cuff Injury,"Chấn thương, lạm dụng vai, hoặc thoái hóa do tuổi tác"
Chấn động não,Triệu chứng,Concussion,"Đau đầu, chóng mặt, buồn nôn hoặc nôn, lú lẫn, vấn đề trí nhớ, nhạy cảm với ánh sáng hoặc tiếng ồn, thay đổi tâm trạng"
Chấn động não,Điều trị,Concussion,"Nghỉ ngơi thể chất và nhận thức, trở lại hoạt động bình thường dần dần, quản lý triệu chứng (như thuốc giảm đau hoặc chống buồn nôn), theo dõi biến chứng (như thay đổi chức năng thần kinh), phục hồi nhận thức (nếu vấn đề nhận thức kéo dài), quản lý các triệu chứng liên quan (như rối loạn giấc ngủ hoặc thay đổi tâm trạng), giáo dục và hỗ trợ phục hồi, tránh chấn thương đầu thêm"
Chấn động não,Nguyên nhân,Concussion,Chấn thương đầu gây rối loạn chức năng não tạm thời
Chấy rận,Triệu chứng,Lice,Ngứa và sự hiện diện rõ ràng của chấy hoặc trứng (chấy cái) trong tóc
Chấy rận,Điều trị,Lice,"Thuốc không kê đơn hoặc theo toa được thiết kế đặc biệt để tiêu diệt chấy (như thuốc diệt chấy), loại bỏ chấy và trứng bằng lược răng mịn, giặt và sấy quần áo, chăn ga bị nhiễm ở nhiệt độ cao, hút bụi đồ đạc và bề mặt nhà, khử trùng các vật dụng cá nhân không thể giặt hoặc sấy, tránh tiếp xúc trực tiếp đầu với người bị nhiễm, chiến lược giáo dục và phòng ngừa"
Chấy rận,Nguyên nhân,Lice,Nhiễm chấy qua tiếp xúc trực tiếp với người hoặc đồ vật bị nhiễm
Chứng nghẹn cơ vòng thực quản,Triệu chứng,Achalasia,Khó nuốt
Chứng nghẹn cơ vòng thực quản,Điều trị,Achalasia,"Nong bóng, phẫu thuật, thuốc"
Chứng nghẹn cơ vòng thực quản,Nguyên nhân,Achalasia,"Rối loạn chức năng cơ vòng thực quản dưới, thường do tổn thương thần kinh"
Chứng ngủ rũ,Triệu chứng,Narcolepsy,"Buồn ngủ quá mức ban ngày, mất trương lực cơ đột ngột (cataplexy)"
Chứng ngủ rũ,Điều trị,Narcolepsy,"Thuốc kích thích, thuốc chống trầm cảm, thay đổi lối sống, ngủ theo lịch trình"
Chứng ngủ rũ,Nguyên nhân,Narcolepsy,Rối loạn thần kinh điều chỉnh giấc ngủ
Chứng ám ảnh ăn uống lành mạnh,Triệu chứng,Orthorexia Nervosa,"Tập trung ám ảnh vào việc ăn sạch, lựa chọn thực phẩm lành mạnh"
Chứng ám ảnh ăn uống lành mạnh,Điều trị,Orthorexia Nervosa,"Tâm lý trị liệu (như liệu pháp hành vi nhận thức hoặc liệu pháp chấp nhận và cam kết), giáo dục dinh dưỡng, thách thức niềm tin méo mó, giải quyết các vấn đề cơ bản"
Chứng ám ảnh ăn uống lành mạnh,Nguyên nhân,Orthorexia Nervosa,"Áp lực xã hội về sức khỏe, rối loạn lo âu, hoặc ám ảnh kiểm soát"
Chứng ăn tạp,Triệu chứng,Pica,Tiêu thụ liên tục các chất không phải thực phẩm
Chứng ăn tạp,Điều trị,Pica,"Liệu pháp hành vi, giải quyết thiếu hụt dinh dưỡng, xử lý biến chứng y tế, hỗ trợ gia đình"
Chứng ăn tạp,Nguyên nhân,Pica,"Thiếu hụt dinh dưỡng, rối loạn tâm lý, hoặc rối loạn phát triển"
Chứng ống tủy,Triệu chứng,Syringomyelia,"Yếu cơ, mất cảm giác, đau mãn tính"
Chứng ống tủy,Điều trị,Syringomyelia,"Phẫu thuật giảm áp, dẫn lưu ống tủy (nang), vật lý trị liệu, kỹ thuật quản lý đau"
Chứng ống tủy,Nguyên nhân,Syringomyelia,Bất thường tủy sống hoặc chấn thương
Co cơ,Triệu chứng,Muscle Spasm,"Co cơ đột ngột, không tự chủ, đau cơ, cứng, hạn chế phạm vi chuyển động"
Co cơ,Điều trị,Muscle Spasm,"Bài tập giãn cơ và thư giãn, liệu pháp nhiệt hoặc lạnh, thuốc giảm đau không kê đơn, thuốc giãn cơ, vật lý trị liệu, thay đổi lối sống"
Co cơ,Nguyên nhân,Muscle Spasm,"Mất nước, căng cơ hoặc thiếu hụt điện giải"
Co cứng cổ,Triệu chứng,Torticollis,"Đau cổ, cứng, và tư thế đầu bất thường"
Co cứng cổ,Điều trị,Torticollis,"Bài tập vật lý trị liệu, thuốc giảm đau, tiêm botulinum toxin (trong trường hợp nặng)"
Co cứng cổ,Nguyên nhân,Torticollis,Co cơ cổ do chấn thương hoặc bẩm sinh
Co giật cơ,Triệu chứng,Myoclonus,"Co cơ hoặc giật đột ngột, ngắn, thường ảnh hưởng đến tay, chân hoặc mặt"
Co giật cơ,Điều trị,Myoclonus,"Xác định và điều trị nguyên nhân cơ bản (ví dụ: điều chỉnh thuốc, mất cân bằng chuyển hóa), thuốc (thuốc chống co giật, thuốc an thần), vật lý trị liệu, chăm sóc hỗ trợ"
Co giật cơ,Nguyên nhân,Myoclonus,Rối loạn thần kinh hoặc tổn thương não
Co thắt phế quản cấp,Triệu chứng,Acute Bronchospasm,"Thở khò khè, khó thở, tức ngực"
Co thắt phế quản cấp,Điều trị,Acute Bronchospasm,"Thuốc giãn phế quản (thuốc hít), corticosteroid, oxy bổ sung (nếu cần)"
Co thắt phế quản cấp,Nguyên nhân,Acute Bronchospasm,"Dị ứng, nhiễm trùng hoặc kích ứng đường hô hấp"
Cúm,Triệu chứng,Influenza (Flu),"Sốt cao, đau nhức cơ thể, mệt mỏi, ho, đau họng, nghẹt mũi"
Cúm,Điều trị,Influenza (Flu),"Nghỉ ngơi, uống đủ nước, thuốc không kê đơn để giảm triệu chứng, thuốc kháng virus (trong một số trường hợp)"
Cúm,Nguyên nhân,Influenza (Flu),Nhiễm virus cúm
Cơn hoảng loạn,Triệu chứng,Panic Attack,"Đau ngực, khó thở, hồi hộp"
Cơn hoảng loạn,Điều trị,Panic Attack,"Bài tập thở, kỹ thuật thư giãn, liệu pháp"
Cơn hoảng loạn,Nguyên nhân,Panic Attack,Căng thẳng hoặc rối loạn lo âu
Cương đau dương vật,Triệu chứng,Priapism,"Cương cứng kéo dài, đau đớn"
Cương đau dương vật,Điều trị,Priapism,"Can thiệp y tế (hút dịch, thuốc, phẫu thuật)"
Cương đau dương vật,Nguyên nhân,Priapism,Rối loạn tuần hoàn máu hoặc tác dụng phụ của thuốc
Cận thị,Triệu chứng,Myopia,"Tầm nhìn xa mờ, căng mắt, nheo mắt"
Cận thị,Điều trị,Myopia,"Kính mắt, kính áp tròng, phẫu thuật chỉnh hình (LASIK), chỉnh hình giác mạc (trong một số trường hợp)"
Cận thị,Nguyên nhân,Myopia,Tiêu cự mắt dài hơn bình thường
Da khô,Triệu chứng,Dry Skin,"Da khô, bong tróc kèm ngứa"
Da khô,Điều trị,Dry Skin,"Kem dưỡng ẩm hoặc lotion, tránh tắm nước nóng, sử dụng xà phòng dịu nhẹ"
Da khô,Nguyên nhân,Dry Skin,Mất nước hoặc yếu tố môi trường
Dày sừng ánh sáng,Triệu chứng,Actinic Keratosis,"Các mảng da thô, có vảy trên da, thường ở vùng tiếp xúc với ánh nắng"
Dày sừng ánh sáng,Điều trị,Actinic Keratosis,"Thuốc bôi tại chỗ (ví dụ: fluorouracil, imiquimod, diclofenac), liệu pháp lạnh, nạo"
Dày sừng ánh sáng,Nguyên nhân,Actinic Keratosis,Tiếp xúc lâu dài với ánh nắng mặt trời
Dị vật trong họng,Triệu chứng,Foreign Body in the Throat,"Cảm giác có vật lạ mắc kẹt trong họng, khó nuốt hoặc nói"
Dị vật trong họng,Điều trị,Foreign Body in the Throat,"Chăm sóc y tế khẩn cấp, loại bỏ dị vật, đánh giá biến chứng"
Dị vật trong họng,Nguyên nhân,Foreign Body in the Throat,Nuốt phải dị vật do tai nạn
Dị vật trong đường tiêu hóa,Triệu chứng,Foreign Body in the Gastrointestinal Tract,"Đau hoặc khó chịu ở bụng, khó nuốt, nghẹn hoặc nôn khan, chảy nước dãi, buồn nôn hoặc nôn, chán ăn, đau hoặc áp lực ngực, khó thở, ho hoặc thở khò khè, xuất huyết tiêu hóa, tắc ruột, thủng đường tiêu hóa"
Dị vật trong đường tiêu hóa,Điều trị,Foreign Body in the Gastrointestinal Tract,"Quan sát và theo dõi (đối với vật nhỏ, trơn và không sắc nhọn có khả năng đi qua đường tiêu hóa mà không gây biến chứng), loại bỏ qua nội soi (sử dụng ống mềm có camera để xác định và lấy dị vật), can thiệp phẫu thuật (trong trường hợp biến chứng nặng, vật lớn hoặc sắc nhọn, hoặc không thể loại bỏ qua nội soi), chăm sóc hỗ trợ (như truyền dịch, quản lý đau, và kháng sinh nếu có nhiễm trùng), nghiên cứu hình ảnh (như X-quang hoặc chụp CT) để đánh giá vị trí và mức độ của dị vật, tham vấn với bác sĩ tiêu hóa hoặc phẫu thuật để quản lý phù hợp"
Dị vật trong đường tiêu hóa,Nguyên nhân,Foreign Body in the Gastrointestinal Tract,Nuốt phải dị vật do tai nạn hoặc cố ý
Dị ứng thực phẩm,Triệu chứng,Food Allergy,"Phát ban, ngứa, sưng, khó thở, triệu chứng tiêu hóa"
Dị ứng thực phẩm,Điều trị,Food Allergy,"Tránh thực phẩm gây dị ứng, thuốc kháng histamine, epinephrine (trong trường hợp nặng)"
Dị ứng thực phẩm,Nguyên nhân,Food Allergy,Phản ứng miễn dịch với thực phẩm cụ thể
Gai xương gót chân,Triệu chứng,Bone Spur of the Calcaneus,"Đau gót chân, đặc biệt khi đi bộ hoặc đứng, nhạy cảm, sưng, viêm mô xung quanh"
