Question,Name,Intent,Scientific_name,Answer
"Bệnh rối loạn sử dụng thuốc an thần, thôi miên hoặc giảm lo âu có liên quan đến tuổi già không?","rối loạn sử dụng thuốc an thần, thôi miên hoặc giảm lo âu",['Nguyên nhân'],"Sedative, Hypnotic, or Anxiolytic Use Disorder",Phụ thuộc vào thuốc an thần hoặc thôi miên do sử dụng kéo dài
Bị nhiễm trùng roi trichomonas thì có phải do lối sống không?,nhiễm trùng roi trichomonas,['Nguyên nhân'],Trichomoniasis,"Nhiễm ký sinh trùng Trichomonas qua giao tiếp tình dục, do môi trường ẩm ướt"
"Đau ở phổi tắc nghẽn mạn tính mãi không hết, tôi phải làm sao?",phổi tắc nghẽn mạn tính,['Điều trị'],Chronic obstructive pulmonary disease,"Ngừng hút thuốc, ống hít và thuốc, Sử dụng kháng sinh, Các thuốc hỗ trợ, Thở oxy hoặc thở máy, Bài tập phục hồi chức năng phổi"
"Bệnh u tủy thượng thận làm tôi đau, tại sao lại thế?",u tủy thượng thận,['Nguyên nhân'],Pheochromocytoma,Tăng sản bất thường của tế bào tủy thượng thận; yếu tố di truyền
Đau ở rỗng tủy sống là bệnh gì và do nguyên nhân gì?,rỗng tủy sống,"['Triệu chứng', 'Nguyên nhân']",Spinal cord injury,"Triệu chứng: Đau đầu dữ dội dưới chẩm, Khàn tiếng, Khó nuốt, Ho khi nuốt, Rối loạn thị giác, Chóng mặt, Ù tai, Giảm thị lực, Mắc bệnh rễ thần kinh, Yếu dần và teo cơ ở cánh tay, Co rút cơ hoặc căng cơ ở cánh tay, giảm nhạy cảm với cơn đau hoặc nhiệt, Mất kiểm soát ruột và bàng quang. Nguyên nhân: Tắc nghẽn hoặc gián đoạn đường đi dịch tủy não, Thoát vị tủy hoặc màng tủy do bẩm sinh, Hội chứng trói buộc tủy, Chấn thương tủy sống, Khối u tủy sống, Viêm màng nhện, Viêm màng não"
"Tôi bị đau do nấm kẽ, đó là bệnh gì và chữa ra sao?",nấm kẽ,"['Triệu chứng', 'Điều trị']",Tinea cruris,"Triệu chứng: Da vùng bẹn, đùi trong đỏ, ngứa, có ranh giới sắc nét. Điều trị: Thuốc chống nấm dạng kem hoặc bột; giữ vùng da khô thoáng"
"Tôi bị đau do chứng ống tủy, đó là bệnh gì, vì sao, và chữa thế nào?",chứng ống tủy,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Syringomyelia,"Triệu chứng: Yếu cơ, mất cảm giác, đau mãn tính. Điều trị: Phẫu thuật giảm áp, dẫn lưu ống tủy (nang), vật lý trị liệu, kỹ thuật quản lý đau. Nguyên nhân: Bất thường tủy sống hoặc chấn thương"
"Tôi bị tiền sản giật và thấy mệt, có cần đi bác sĩ không?",tiền sản giật,['Triệu chứng'],Preeclampsia,"Huyết áp cao, protein niệu, sưng, đau đầu, rối loạn thị giác"
"Bệnh gai cột sống có dấu hiệu gì, tại sao lại bị, và tôi nên làm gì để chữa?",gai cột sống,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",spondylosis,"Triệu chứng: ê buốt, tê các bộ phận ở cột sống hoặc tạo thành những cơn đau lan dọc dây thần kinh, làm suy yếu tay chân.. Điều trị: thuốc giảm đau NSAIDs (meloxicam, celecoxib), giãn cơ (tolperisone), vật lý trị liệu, xoa bóp, kéo giãn cột sống, phẫu thuật nếu chèn ép nặng;. Nguyên nhân: do đĩa đệm bị mất nước, co lại, gây áp lực lên xương và kích thích gai xương tăng trưởng."
Bệnh suy tuyến thượng thận do nguyên nhân gì và tôi có thể điều trị thế nào?,suy tuyến thượng thận,"['Nguyên nhân', 'Điều trị']",Adrenal Insufficiency (Addison’s Disease),"Nguyên nhân: Phản ứng tự miễn, nhiễm trùng (ví dụ: lao), tổn thương tuyến thượng thận. Điều trị: Thay thế glucocorticoid và mineralocorticoid"
"Tôi bị đột quỵ, do đâu và có thuốc gì để chữa không?",đột quỵ,"['Nguyên nhân', 'Điều trị']",Cerebrovascular Accident,"Nguyên nhân: Tăng huyết áp, bệnh tim, tiểu đường, hút thuốc lá. Điều trị: đột quỵ thiếu máu dùng thuốc tiêu huyết khối (rtPA) trong giờ vàng, chống kết tập tiểu cầu (aspirin, clopidogrel), kiểm soát huyết áp, phẫu thuật nếu xuất huyết; phục hồi chức năng sau đột quỵ;"
"Đau ở chán ăn tâm thần là bệnh gì, tại sao, và có cách nào giảm không?",chán ăn tâm thần,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Anorexia Nervosa,"Triệu chứng: Giảm cân cực độ, sợ tăng cân, hình ảnh cơ thể méo mó. Điều trị: Theo dõi y tế, tư vấn dinh dưỡng, tâm lý trị liệu (như liệu pháp hành vi nhận thức hoặc liệu pháp gia đình), thuốc (trong một số trường hợp), nhập viện (cho các trường hợp nghiêm trọng), nhóm hỗ trợ. Nguyên nhân: Yếu tố tâm lý, di truyền, hoặc áp lực xã hội về hình thể"
"Bị đau lưng liên quan đến thai kỳ mà đau hoài, đó là bình thường không?",đau lưng liên quan đến thai kỳ,['Triệu chứng'],Pregnancy-Related Back Pain,"Đau lưng dưới, khó chịu vùng chậu"
Bệnh trạng thái tăng đường huyết tăng ceton có phải từ gia đình tôi di truyền không?,trạng thái tăng đường huyết tăng ceton,['Nguyên nhân'],Hyperosmotic Hyperketotic State,Mất kiểm soát đường huyết trong tiểu đường
"Bệnh polyp đại tràng làm tôi mệt, có cách nào phục hồi không?",polyp đại tràng,['Điều trị'],Colonic Polyp,"Cắt polyp (loại bỏ polyp trong quá trình nội soi đại tràng), nội soi đại tràng giám sát (theo dõi định kỳ để phát hiện tái phát hoặc polyp mới), thay đổi lối sống (chế độ ăn lành mạnh, tập thể dục đều đặn, ngừng hút thuốc), theo dõi dựa trên kết quả bệnh lý"
"Bị còi xương mà đau hoài, có cách nào chữa không?",còi xương,['Điều trị'],Scurvy,"Bổ sung vitamin C, thay đổi chế độ ăn, duy trì vệ sinh miệng"
Bệnh giang mai có dấu hiệu gì và do đâu?,giang mai,"['Triệu chứng', 'Nguyên nhân']",Syphilis,"Triệu chứng: Chan cre, loét ở vùng sinh dục; sau này có phát ban, đau đầu, sốt, tổn thương nội tạng nếu không điều trị. Nguyên nhân: Lây truyền qua giao hợp, từ mẹ sang con trong thai kỳ"
Đau ở ngộ độc thuốc an thần là bệnh gì và có cách nào giảm không?,ngộ độc thuốc an thần,"['Triệu chứng', 'Điều trị']",Sedatives Poisoning,"Triệu chứng: Buồn ngủ, lú lẫn, thở chậm. Điều trị: Chăm sóc y tế khẩn cấp, chăm sóc hỗ trợ, sử dụng thuốc giải độc"
Tôi bị viêm quy đầu vì lý do gì và có phương pháp chữa nào hiệu quả?,viêm quy đầu,"['Nguyên nhân', 'Điều trị']",Balanitis,"Nguyên nhân: Nhiễm trùng hoặc kích ứng da. Điều trị: Vệ sinh tốt, kem chống nấm hoặc kháng khuẩn tại chỗ, kem corticosteroid (nếu nặng), điều trị nguyên nhân cơ bản"
"Cơ thể tôi yếu khi bị bàn chân bẹt, do nguyên nhân gì?",bàn chân bẹt,['Nguyên nhân'],Flat Feet,Bẩm sinh hoặc yếu cơ bàn chân
Bệnh ung thư tuyến thượng thận biểu hiện thế nào và do nguyên nhân gì?,ung thư tuyến thượng thận,"['Triệu chứng', 'Nguyên nhân']",Adrenal Cancer,"Triệu chứng: Đau bụng hoặc lưng, giảm cân không rõ nguyên nhân, mất cân bằng hormone. Nguyên nhân: Tăng trưởng bất thường trong tuyến thượng thận"
Bệnh phổi tắc nghẽn mạn tính do đâu và làm sao để bớt đau?,phổi tắc nghẽn mạn tính,"['Nguyên nhân', 'Điều trị']",Chronic obstructive pulmonary disease,"Nguyên nhân: Phổi bị viêm, Tổn thương và hẹp đường dẫn khí, Hút thuốc, Giãn phế quản, Di chứng lao phổi. Điều trị: Ngừng hút thuốc, ống hít và thuốc, Sử dụng kháng sinh, Các thuốc hỗ trợ, Thở oxy hoặc thở máy, Bài tập phục hồi chức năng phổi"
Bệnh creutzfeldt-jakob biểu hiện ra sao và có cách nào điều trị không?,creutzfeldt-jakob,"['Triệu chứng', 'Điều trị']",Creutzfeldt-Jakob,"Triệu chứng: Thay đổi tính cách, Mất trí nhớ, Suy giảm khả năng suy nghĩ, Mất ngủ, Mất phối hợp động tác, Khó nói, Khó nuốt, Động tác giật cơ. Điều trị: Thuốc gây nghiện để giảm đau, Thuốc điều trị co thắt cơ, Truyền dịch, Cho ăn qua sonde"
"Đau khớp do phổi tăng áp động mạch, có phải bệnh nghiêm trọng không?",phổi tăng áp động mạch,['Triệu chứng'],Pulmonary hypertension,"Khó thở, Mệt mỏi, Chóng mặt, ngất, Đau hay nặng tức ngực, Phù chân, Tím môi hay đầu chi, Hồi hộp"
"Cơ thể tôi yếu khi bị viêm bao quy đầu, chuyện gì thế?",viêm bao quy đầu,['Triệu chứng'],Balanitis,"Đỏ, sưng, ngứa, đau ở đầu dương vật, có thể kèm tiết dịch bất thường"
Bệnh viêm cột sống có dấu hiệu gì và do đâu?,viêm cột sống,"['Triệu chứng', 'Nguyên nhân']",Spondylitis,"Triệu chứng: Đau lưng mãn tính và cứng khớp, đặc biệt vào buổi sáng hoặc sau thời gian không hoạt động, hạn chế phạm vi chuyển động ở cột sống, mệt mỏi, viêm và đau ở các khớp khác (như hông, vai, gối), khó chịu hoặc đau ở cổ, khó duy trì tư thế đúng, nhạy cảm hoặc sưng ở vùng bị ảnh hưởng, tê hoặc ngứa ran ở tay chân trong trường hợp nặng. Nguyên nhân: Rối loạn tự miễn, yếu tố di truyền hoặc viêm mãn tính"
Tôi bị phá thai chủ động vì ăn uống không lành mạnh à?,phá thai chủ động,['Nguyên nhân'],Induced Abortion,Quyết định cá nhân hoặc y tế để chấm dứt thai kỳ
"Bệnh cương đau dương vật làm tôi đau, tại sao lại thế?",cương đau dương vật,['Nguyên nhân'],Priapism,Rối loạn tuần hoàn máu hoặc tác dụng phụ của thuốc
Bệnh loạn thị biểu hiện ra sao và có cách nào điều trị không?,loạn thị,"['Triệu chứng', 'Điều trị']",Astigmatism,"Triệu chứng: Tầm nhìn mờ hoặc méo mó, căng mắt, đau đầu, cong không đều của giác mạc. Điều trị: Kính mắt, kính áp tròng, phẫu thuật chỉnh hình (LASIK, PRK), chỉnh hình giác mạc, kính nội nhãn toric"
"Bệnh giả suy cận giáp làm tôi mệt, tại sao vậy?",giả suy cận giáp,['Nguyên nhân'],Pseudohypoparathyroidism,Kháng hormone tuyến cận giáp do di truyền
"Khi bị chlamydia, tôi sẽ thấy gì và có phương pháp chữa nào?",chlamydia,"['Triệu chứng', 'Điều trị']",Chlamydia trachomatis infection,"Triệu chứng: Thường không có triệu chứng rõ ràng; nếu có: tiết dịch âm đạo bất thường, đau rát khi tiểu tiện. Điều trị: Điều trị bằng azithromycin hoặc doxycycline"
"Bị múa giật huntington mà đau hoài, đó là bình thường không?",múa giật huntington,['Triệu chứng'],Huntington's chorea,"Rối loạn vận động như vận động quằn quại, Co giật, Co thắt cơ, Vận động mắt có sự bất thường, Gặp vấn đề về khả năng thăng bằng và đi lại, Phát âm khó khăn, Rối loạn tâm lý, Mất ngủ, Dễ nóng giận, Cơ thể mệt mỏi, Rối loạn ám ảnh cưỡng chế, Rối loạn lưỡng cực "
Tại sao tôi bị sỏi tiết niệu và có cách chữa không?,sỏi tiết niệu (sỏi thận),"['Nguyên nhân', 'Điều trị']",Urinary Stones (Kidney Stones),"Nguyên nhân: Tích tụ khoáng chất trong thận hoặc mất nước. Điều trị: Quản lý đau, tăng lượng nước uống, thuốc để hỗ trợ đào thải sỏi, thủ thuật hoặc phẫu thuật"
"Khi bị viêm bao quy đầu, tôi sẽ thấy gì và có phương pháp chữa nào?",viêm bao quy đầu,"['Triệu chứng', 'Điều trị']",Balanitis,"Triệu chứng: Đỏ, sưng, ngứa, đau ở đầu dương vật, có thể kèm tiết dịch bất thường. Điều trị: Vệ sinh kỹ càng, dùng kem chống viêm, kháng sinh hoặc kháng nấm tùy theo nguyên nhân"
Do đâu tôi bị tấn công thiếu máu cục bộ thoáng qua và nên làm gì để chữa?,tấn công thiếu máu cục bộ thoáng qua,"['Nguyên nhân', 'Điều trị']",Transient ischemic attack,"Nguyên nhân: Tắc nghẽn tạm thời dòng máu lên não, thường do cục máu đông. Điều trị: Thuốc chống tiểu cầu, cắt bỏ nội mạc động mạch cảnh, thuốc chống đông máu, thay đổi lối sống"
"Tôi bị giảm tiểu cầu, vì sao vậy và có cách nào giảm không?",giảm tiểu cầu,"['Nguyên nhân', 'Điều trị']",Thrombocytopenia,"Nguyên nhân: Rối loạn miễn dịch hoặc suy tủy xương. Điều trị: Điều trị nguyên nhân cơ bản, truyền tiểu cầu (nếu nặng), thuốc (corticosteroid, thuốc ức chế miễn dịch), tránh các thuốc có thể làm giảm tiểu cầu"
Vì sao tôi hay bị xoắn ruột và có cách nào để hết không?,xoắn ruột,"['Nguyên nhân', 'Điều trị']",Volvulus,Nguyên nhân: Ruột xoắn do bất thường cấu trúc. Điều trị: Phẫu thuật khẩn cấp để tháo xoắn cơ quan bị ảnh hưởng và khôi phục lưu lượng máu
Vì sao tôi hay bị nhiễm nấm da và có cách nào để hết không?,nhiễm nấm da,"['Nguyên nhân', 'Điều trị']",Fungal Infection of the Skin,"Nguyên nhân: Nhiễm nấm do môi trường ẩm ướt hoặc tiếp xúc. Điều trị: Kem chống nấm, bột hoặc thuốc uống, vệ sinh và chăm sóc da đúng cách"
Tôi bị u nhú sinh dục là do thời tiết thay đổi à?,u nhú sinh dục,['Nguyên nhân'],Genital Papilloma (Condyloma acuminata),"Nhiễm HPV qua giao hợp, tương tự sùi mào gà nhưng có thể khác về hình thái lâm sàng"
"Tôi bị chấn thương chân, triệu chứng là gì và chữa thế nào?",chấn thương chân,"['Triệu chứng', 'Điều trị']",Injury to the Leg,"Triệu chứng: Đau, sưng, bầm tím, khó đi lại. Điều trị: R.I.C.E. (Nghỉ ngơi, Chườm đá, Nén, Nâng cao), thuốc giảm đau, vật lý trị liệu"
"Khi bị ung thư niệu quản, tôi sẽ thấy gì và có phương pháp chữa nào?",ung thư niệu quản,"['Triệu chứng', 'Điều trị']",Ureteral cancer,"Triệu chứng: Tiểu ra máu; Tiểu rát, khó tiểu; Đau lưng; Đau rát khi đại tiện; Sưng bàn chân; Sụt cân. Điều trị: Phẫu thuật, Hóa trị, Xạ trị"
Bệnh hội chứng turner có dấu hiệu nào đặc biệt và có thuốc gì giúp không?,hội chứng turner,"['Triệu chứng', 'Điều trị']",Turner Syndrome,"Triệu chứng: Chiều cao thấp, vô sinh, dị dạng tim, đặc điểm khuôn mặt đặc trưng. Điều trị: Liệu pháp hormone tăng trưởng, hormone sinh dục, can thiệp tim mạch"
"Tôi hay bị đau khi bị vảy phấn hồng, đó có phải vấn đề không?",vảy phấn hồng,['Triệu chứng'],Pityriasis rosea,"Xuất hiện mảng ban màu hồng, vảy nhẹ, có thể kèm ngứa, thường bắt đầu với mảng báo trước"
"Tôi bị trào ngược bàng quang niệu quản, tôi muốn biết tại sao, cách điều trị và triệu chứng của bệnh.",trào ngược bàng quang niệu quản,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Vesicoureteral Reflux,"Triệu chứng: Nhiễm trùng đường tiết niệu thường xuyên, khẩn cấp hoặc tiểu nhiều, đái dầm (ở trẻ em), huyết áp cao (trong trường hợp nặng). Điều trị: Kháng sinh, bài tập huấn luyện bàng quang, sửa chữa phẫu thuật (trong một số trường hợp). Nguyên nhân: Dòng nước tiểu ngược từ bàng quang lên niệu quản"
"Bị phù phổi cấp mà đau hoài, đó là bình thường không?",phù phổi cấp,['Triệu chứng'],Acute pulmonary edema,"Thể điển hình: mắc các bệnh lý về tim mạch; Thể kín đáo: nhịp thở tăng dần, cánh mũi phập phồng, bệnh nhân vật vã, giãy dụa, Tĩnh mạch cổ nổi, tình trạng ngạt thở dẫn đến hôn mê"
Tôi bị đái tháo đường type 2 vì lý do gì và có phương pháp chữa nào hiệu quả?,đái tháo đường type 2,"['Nguyên nhân', 'Điều trị']",Type 2 Diabetes Mellitus,"Nguyên nhân: Kháng insulin do lối sống, yếu tố di truyền và béo phì. Điều trị: Thay đổi lối sống, dùng thuốc hạ đường huyết (metformin, sulfonylureas), insulin nếu cần"
Bệnh hội chứng suy hô hấp cấp tính có liên quan đến tuổi già không?,hội chứng suy hô hấp cấp tính,['Nguyên nhân'],Acute respiratory distress syndrome,"Nguyên nhân tại phổi: Nhiễm trùng phế quản, phổi thuyên tắc động mạch phổi, tràn khí màng phổi, hen phế quản, tắc nghẽn phế quản cấp; Nguyên nhân ngoài phổi: tắc nghẽn thanh- khí quản, tràn dịch màng phổi, chấn thương lồng ngực, tổn thương cơ hô hấp"
"Tôi bị đau ở nôn nghén nặng, đó có phải bệnh không?",nôn nghén nặng,['Triệu chứng'],Hyperemesis Gravidarum,Buồn nôn và nôn nghiêm trọng trong thai kỳ
"Bệnh xước giác mạc có triệu chứng gì, nguyên nhân từ đâu, và tôi nên làm gì để giảm triệu chứng?",xước giác mạc,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Corneal Abrasion,"Triệu chứng: Đau mắt, đỏ, cảm giác có dị vật, nhạy cảm với ánh sáng. Điều trị: Băng mắt, thuốc nhỏ mắt bôi trơn, thuốc mỡ kháng sinh (nếu nhiễm trùng), tránh kích ứng mắt thêm. Nguyên nhân: Chấn thương bề mặt giác mạc"
"Tôi bị đau thần kinh tọa và thấy mệt, do nguyên nhân gì?",đau thần kinh tọa,['Nguyên nhân'],Sciatica,"do thoát vị đĩa đệm. Bên cạnh đó, thừa cân – béo phì, tuổi tác cao và ngồi một chỗ quá lâu cũng là những tác nhân có thể làm tăng nguy cơ mắc bệnh."
"Tôi bị đau dây chằng tròn, có triệu chứng gì và nên làm gì để bớt đau?",đau dây chằng tròn,"['Triệu chứng', 'Điều trị']",Round Ligament Pain,"Triệu chứng: Đau nhói hoặc âm ỉ ở bụng dưới hoặc háng. Điều trị: Nghỉ ngơi, thay đổi tư thế chậm, chườm ấm, giãn cơ nhẹ, tránh cử động đột ngột"
"Khi bị tiểu không kiểm soát do tràn đầy, tôi sẽ thấy gì và do đâu mà có?",tiểu không kiểm soát do tràn đầy,"['Triệu chứng', 'Nguyên nhân']",Overflow Incontinence,"Triệu chứng: Rỉ nước tiểu thường xuyên hoặc liên tục, không thể làm rỗng hoàn toàn bàng quang, dòng nước tiểu yếu. Nguyên nhân: Tắc nghẽn hoặc yếu cơ bàng quang"
Bệnh ngộ độc thuốc an thần do nguyên nhân gì và tôi có thể điều trị thế nào?,ngộ độc thuốc an thần,"['Nguyên nhân', 'Điều trị']",Sedatives Poisoning,"Nguyên nhân: Dùng quá liều thuốc an thần. Điều trị: Chăm sóc y tế khẩn cấp, chăm sóc hỗ trợ, sử dụng thuốc giải độc"
"Tôi bị cường giáp, nên làm gì để mau khỏe lại?",cường giáp,['Điều trị'],Hyperthyroidism,"Thuốc chống giáp (methimazole, propylthiouracil), iodine phóng xạ, phẫu thuật"
"Tôi bị đau dây thần kinh hậu zona, có nên đi bác sĩ ngay không?",đau dây thần kinh hậu zona,['Điều trị'],Postherpetic neuralgia,"Sử dụng thuốc kháng virus, Corticostroid,Thuốc chống trầm cảm, Thuốc giảm đau ngoại biên, Thuốc kháng viêm không chưa steroid"
"Bệnh hội chứng men có dấu hiệu gì, tại sao lại bị, và tôi nên làm gì để chữa?",hội chứng men,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Multiple Endocrine Neoplasia (MEN) Syndrome,"Triệu chứng: Xuất hiện các khối u nội tiết đa dạng, triệu chứng phụ thuộc vào tuyến bị ảnh hưởng. Điều trị: Theo dõi định kỳ, phẫu thuật, liệu pháp hormone tùy loại u. Nguyên nhân: Đột biến di truyền (RET, MEN1 gene) gây tăng sản đa tuyến nội tiết"
"Tôi bị vết loét lạnh, triệu chứng là gì và chữa thế nào?",vết loét lạnh (mụn nước sốt),"['Triệu chứng', 'Điều trị']",Herpes Simplex Virus type 1,"Triệu chứng: Mụn nước nhỏ, đau rát, sưng đỏ quanh miệng; có thể nứt ra và hình thành vết loét. Điều trị: Thuốc kháng virus (Acyclovir), kem chống viêm, hỗ trợ giảm đau"
Bệnh tràn khí màng phổi có dấu hiệu nào đặc biệt và có thuốc gì giúp không?,tràn khí màng phổi,"['Triệu chứng', 'Điều trị']",Pneumothorax,"Triệu chứng: Đau ngực đột ngột; Khó thở; Choáng. Điều trị: Thuốc điều trị tràn khí màn phổi; Phẫu thuật tràn khí màn phổi: Sonde dẫn lưu màng phổi, Hút khí màng phổi bằng kim, Dẫn lưu ngực, Gây dính màng phổi bằng hóa chất"
"Tôi muốn giảm triệu chứng của van hai lá, nên làm gì?",van hai lá,['Điều trị'],Mitral Valve Disease,"Thuốc, thay đổi lối sống, sửa chữa hoặc thay van phẫu thuật (trong trường hợp nặng)"
Bệnh giang mai có dấu hiệu nào đặc biệt và có thuốc gì giúp không?,giang mai,"['Triệu chứng', 'Điều trị']",Treponema pallidum infection,"Triệu chứng: Chan cre, loét ở vùng sinh dục; sau này có phát ban, đau đầu, sốt, tổn thương nội tạng nếu không điều trị. Điều trị: Tiêm Penicillin là liệu pháp vàng; các kháng sinh thay thế cho dị ứng penicillin"
Bệnh hội chứng ống cổ tay có dấu hiệu nào đặc biệt và có thuốc gì giúp không?,hội chứng ống cổ tay,"['Triệu chứng', 'Điều trị']",carpal tunnel syndrome,"Triệu chứng: tê, châm chích, đau ở ngón cái, ngón trỏ, ngón giữa và nửa ngón áp út, đau tăng về đêm, yếu cơ ngón cái, có thể làm rối động tác khi cầm nắm;. Điều trị: nẹp cổ tay về đêm, vật lý trị liệu, thuốc giảm đau NSAIDs (ibuprofen), tiêm corticoid tại chỗ, phẫu thuật giải áp nếu nặng hoặc không đáp ứng điều trị bảo tồn;"
Bệnh phá thai chủ động có dấu hiệu gì và làm sao để bớt khó chịu?,phá thai chủ động,"['Triệu chứng', 'Điều trị']",Induced Abortion,"Triệu chứng: Chảy máu âm đạo, chuột rút, đau bụng, buồn nôn, mệt mỏi, căng thẳng cảm xúc. Điều trị: Phá thai nội khoa: Sử dụng thuốc (như mifepristone và misoprostol) để gây phá thai, có thể thực hiện ở giai đoạn đầu thai kỳ. Phá thai ngoại khoa: Bác sĩ thực hiện thủ thuật để loại bỏ thai, có thể bao gồm hút chân không hoặc nạo gắp (D&C). Cần tham khảo ý kiến bác sĩ để thảo luận các lựa chọn và xác định phương pháp phù hợp nhất."
"Cơ thể tôi yếu khi bị xẹp phổi, chuyện gì thế?",xẹp phổi,['Triệu chứng'],Atelectasis,"Khó thở, thở nhanh, đau ngực"
"Tôi bị tinh hoàn ẩn, có triệu chứng gì và nên làm gì để bớt đau?",tinh hoàn ẩn,"['Triệu chứng', 'Điều trị']",Cryptorchidism,"Triệu chứng: Không có hoặc tinh hoàn không xuống, bìu trống, tinh hoàn nhỏ hoặc kém phát triển, thoát vị bẹn, vị trí tinh hoàn bất thường (cao hơn ở vùng háng). Điều trị: Theo dõi và quan sát (trong trường hợp nhẹ hoặc tạm thời), liệu pháp hormone (để kích thích tinh hoàn xuống), phẫu thuật (orchiopexy) để đặt lại tinh hoàn vào bìu, nếu cần, thực hiện khoảng 6 đến 12 tháng tuổi, phẫu thuật mở hoặc nội soi (trong trường hợp cao hoặc kéo dài), cấy ghép tinh hoàn giả (trong trường hợp không có hoặc tinh hoàn không hoạt động), thăm khám định kỳ với bác sĩ tiết niệu hoặc phẫu thuật nhi"
"Cơ thể tôi yếu khi bị hạ đường huyết, nên ăn gì để khỏe lại?",hạ đường huyết,['Điều trị'],Hypoglycemia,"Tiêu thụ glucose hoặc thực phẩm chứa đường, điều chỉnh liều thuốc hoặc insulin"
Tôi bị tắc nghẽn niệu quản vì lý do gì và có phương pháp chữa nào hiệu quả?,tắc nghẽn niệu quản,"['Nguyên nhân', 'Điều trị']",Ureteral obstruction,"Nguyên nhân: Các chấn thương như gãy xương chậu; Khối u di căn tới thận, bàng quang, tử cung hay đại tràng; Các bệnh tại đường tiêu hóa; Sỏi niệu quản. Điều trị: Phẫu thuật; Đặt stent: hương pháp điều trị ít xâm lấn hơn là đặt một ống stent trong niệu quản hay thận bị tắc nghẽn"
"Bệnh trầm cảm sau sinh làm tôi đau, có mẹo nào giúp không?",trầm cảm sau sinh,['Điều trị'],oubtedly Depression,"Tâm lý trị liệu (như liệu pháp hành vi nhận thức hoặc liệu pháp giao tiếp), nhóm hỗ trợ hoặc tư vấn đồng đẳng, thuốc chống trầm cảm (nếu được chuyên gia y tế khuyên dùng), liệu pháp hormone (trong một số trường hợp), thay đổi lối sống (như tập thể dục, chế độ ăn lành mạnh, vệ sinh giấc ngủ), nhờ bạn đời hoặc gia đình chăm sóc em bé, sự hỗ trợ xã hội và thấu hiểu từ gia đình và bạn bè, theo dõi và giám sát định kỳ bởi chuyên gia y tế"
"Bị viêm tai giữa cấp mà đau hoài, tại sao thế?",viêm tai giữa cấp,['Nguyên nhân'],Acute Otitis Media,"Nhiễm khuẩn tai giữa, thường do vi khuẩn hoặc virus"
"Tôi thấy khó chịu ở viêm phổi, có phải dấu hiệu bệnh không?",viêm phổi,['Triệu chứng'],Pneumonia,"Ho, sốt, đau ngực, khó thở"
"Tôi bị viêm cầu thận, tôi muốn biết tại sao, cách điều trị và triệu chứng của bệnh.",viêm cầu thận,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Glomerulonephritis,"Triệu chứng: Phù là triệu chứng lâm sàng đặc trưng cho bệnh lý cầu thận; Nặng mặt, nề 2 mi mắt, phù 2 chân, phù mềm ấn lõm; Phù thường gặp trong 10 ngày đầu và giảm đi nhanh chóng khí bệnh nhân đái nhiều; Tăng huyết áp kéo dài gây tổn thương đáy mắt, suy tim, tai biến mạch máu não,...; Đái ra máu đại thể trong viêm cầu thận cấp. Điều trị: Nghỉ ngơi; Phù: dùng thuốc theo chỉ định; Tăng huyết áp có thể sử dụng các nhóm thuốc như lợi tiểu quai, chẹn kênh canxi, chẹn beta; Corticoid liệu pháp và các thuốc ức chế miễn dịch trong viêm cầu thận mạn tính. Nguyên nhân: Viêm họng hay nhiễm khuẩn ngoài da do liên cầu khuẩn tan máu beta nhóm A ở một số type gây viêm cầu thận cấp tính; Lupus ban đỏ hệ thống; Đái tháo đường; Bệnh Berger; Xơ hóa cầu thận khu trú; Tăng huyết áp không kiểm soát; Một số thuốc, hóa chất; Nguyên nhân khác: viêm mao mạch dị ứng Henoch- Scholein, viêm mạch nhỏ dạng nút, viêm cầu thận trong bệnh osler, hội chứng Goodpasture,..."
Bệnh nấm tóc có triệu chứng gì và nguyên nhân từ đâu?,nấm tóc,"['Triệu chứng', 'Nguyên nhân']",Tinea capitis,"Triệu chứng: Da đầu ngứa, đỏ, bong tróc, kèm rụng tóc tại vùng nhiễm. Nguyên nhân: Nhiễm nấm dermatophytes như Trichophyton, Microsporum qua tiếp xúc từ môi trường hoặc từ người khác"
"Tôi bị não úng thủy, triệu chứng là gì, do đâu, và chữa thế nào?",não úng thủy,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Hydrocephalus,"Triệu chứng: Đầu phình to, trán dô, nôn mửa, co giật, mạch máu nổi trên đầu, đau đầu dữ dội vào buổi sáng, nhìn mờ, song thị, rối loạn thăng bằng, suy giảm trí nhớ, tiểu không tự chủ. Điều trị: Đặt ống dẫn lưu dịch não tủy, phẩu thuật nội soi mở thông não thất thứ 3, dùng thuốc hỗ trợ, Vật lí trị liệu. Nguyên nhân: Dị tật Arnold-Chiari, Dị tật ống trung não, Hội chứng Dandy-walker, di truyền, nhiễm trùng bào thai, xuất huyết não, nhiễm trùng thần kinh trung ương, u não"
